,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,219.15,-37.25,-14.53,44525.84
2,Asian Paints,Paints,1524.0,-218.95,-12.56,146181.74
3,Axis Bank,Bank - Private,315.45,-112.7,-26.32,89002.37
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1962.1,-280.2,-12.5,56776.7
5,Bajaj Finance,Finance - NBFC,2357.5,-594.4,-20.14,141848.2
6,Bajaj Finserv,Finance - Investment,4854.95,-1378.1,-22.11,77260.36
7,Bharti Airtel,Telecommunication - Service Provider,421.2,-41.45,-8.96,229788.08
8,Bharti Infratel,Telecommunication - Equipment,142.15,-6.0,-4.05,26292.18
9,BPCL,Refineries,273.4,-44.45,-13.98,59307.37
10,Britannia,Consumer Food,2203.0,-264.8,-10.73,52975.17
11,Cipla,Pharmaceuticals & Drugs,381.15,-11.65,-2.97,30729.66
12,Coal India,Coal,132.45,-0.35,-0.26,81625.34
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2770.5,-126.75,-4.37,46037.98
14,Eicher Motors,Automobile - LCVS/ HVCS,14259.05,-1419.4,-9.05,38935.01
15,GAIL,Gas Distribution,79.4,-1.4,-1.73,36116.47
16,Grasim,Diversified,435.4,-94.0,-17.76,28640.57
17,HCL Tech,IT Services & Consulting,416.6,-28.3,-6.36,113051.29
18,HDFC,Finance - Housing,1608.0,-145.95,-8.32,278501.93
19,HDFC Bank,Bank - Private,779.2,-103.65,-11.74,427257.68
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1598.85,-216.85,-11.94,31935.33
21,Hindalco,Iron & Steel,86.65,-18.85,-17.87,19463.52
22,HUL,Household & Personal Products,1927.95,-123.75,-6.03,417366.68
23,ICICI Bank,Bank - Private,286.35,-59.35,-17.17,185339.73
24,IndusInd Bank,Bank - Private,334.85,-105.5,-23.96,23223.04
25,Infosys,IT Services & Consulting,532.45,-52.75,-9.01,226759.65
26,IOC,Refineries,82.65,-7.95,-8.77,77808.02
27,ITC,Cigarettes/Tobacco,155.45,-20.05,-11.42,191082.73
28,JSW Steel,Iron & Steel,138.9,-36.85,-20.97,33575.19
29,Kotak Mahindra,Bank - Private,1092.9,-169.45,-13.42,209013.46
30,Larsen,Engineering & Construction,728.7,-136.0,-15.73,102301.61
31,M&M,Automobile - Auto & Truck Manufacturers,300.6,-22.0,-6.82,37370.37
32,Maruti Suzuki,Automobile - Passenger Cars,4272.2,-807.0,-15.89,129054.64
33,Nestle,Consumer Food,13106.45,-1039.05,-7.35,126366.78
34,NTPC,Power Generation/Distribution,77.45,-3.8,-4.68,76633.35
35,ONGC,Oil Exploration and Production,61.4,-10.95,-15.13,77242.91
36,Power Grid Corp,Power Generation/Distribution,154.6,-2.65,-1.69,80880.38
37,Reliance,Oil Exploration and Production,891.7,-126.25,-12.4,565272.48
38,SBI,Bank - Public,182.0,-27.85,-13.27,162427.93
39,Sun Pharma,Pharmaceuticals & Drugs,332.5,-32.75,-8.97,79777.89
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,269.95,-27.8,-9.34,30409.59
42,TCS,IT Services & Consulting,1717.0,-80.45,-4.48,644284.45
43,Tech Mahindra,IT Services & Consulting,523.85,-52.5,-9.11,51668.83
44,Titan Company,Diamond  &  Jewellery,823.1,-81.8,-9.04,73073.68
45,UltraTechCement,Cement,3081.3,-492.55,-13.78,88933.55
46,UPL,Pesticides & Agrochemicals,264.6,-35.55,-11.84,20216.64
47,Vedanta,Metals - Non Ferrous,62.9,-12.55,-16.63,23381.17
48,Wipro,IT Services & Consulting,174.35,-4.85,-2.71,99612.39
49,Yes Bank,Bank - Private,41.1,-4.75,-10.36,51582.44
50,Zee Entertain,TV Broadcasting & Software Production,127.25,-17.65,-12.18,12222.15
