,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,215.0,-41.4,-16.15,43682.66
2,Asian Paints,Paints,1526.6,-216.35,-12.41,146431.13
3,Axis Bank,Bank - Private,321.15,-107.0,-24.99,90610.59
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1935.0,-307.3,-13.7,55992.52
5,Bajaj Finance,Finance - NBFC,2401.2,-550.7,-18.66,144477.58
6,Bajaj Finserv,Finance - Investment,4957.1,-1275.95,-20.47,78885.95
7,Bharti Airtel,Telecommunication - Service Provider,423.0,-39.65,-8.57,230770.08
8,Bharti Infratel,Telecommunication - Equipment,143.5,-4.65,-3.14,26541.88
9,BPCL,Refineries,286.1,-31.75,-9.99,62062.32
10,Britannia,Consumer Food,2224.5,-243.3,-9.86,53492.17
11,Cipla,Pharmaceuticals & Drugs,388.25,-4.55,-1.16,31302.09
12,Coal India,Coal,133.0,0.2,0.15,81964.29
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2778.9,-118.35,-4.08,46177.56
14,Eicher Motors,Automobile - LCVS/ HVCS,14241.85,-1436.6,-9.16,38888.05
15,GAIL,Gas Distribution,77.95,-2.85,-3.53,35456.92
16,Grasim,Diversified,434.0,-95.4,-18.02,28548.47
17,HCL Tech,IT Services & Consulting,415.05,-29.85,-6.71,112630.67
18,HDFC,Finance - Housing,1596.7,-157.25,-8.97,276544.79
19,HDFC Bank,Bank - Private,775.65,-107.2,-12.14,425311.11
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1573.05,-242.65,-13.36,31420.0
21,Hindalco,Iron & Steel,86.55,-18.95,-17.96,19441.06
22,HUL,Household & Personal Products,1902.0,-149.7,-7.3,411748.97
23,ICICI Bank,Bank - Private,287.4,-58.3,-16.86,186019.34
24,IndusInd Bank,Bank - Private,333.5,-106.85,-24.26,23129.42
25,Infosys,IT Services & Consulting,530.15,-55.05,-9.41,225780.13
26,IOC,Refineries,83.05,-7.55,-8.33,78184.59
27,ITC,Cigarettes/Tobacco,153.75,-21.75,-12.39,188993.06
28,JSW Steel,Iron & Steel,139.1,-36.65,-20.85,33623.54
29,Kotak Mahindra,Bank - Private,1100.75,-161.6,-12.8,210514.75
30,Larsen,Engineering & Construction,710.15,-154.55,-17.87,99697.39
31,M&M,Automobile - Auto & Truck Manufacturers,291.45,-31.15,-9.66,36232.85
32,Maruti Suzuki,Automobile - Passenger Cars,4232.0,-847.2,-16.68,127840.28
33,Nestle,Consumer Food,13557.0,-588.5,-4.16,130710.79
34,NTPC,Power Generation/Distribution,76.9,-4.35,-5.35,76089.15
35,ONGC,Oil Exploration and Production,61.4,-10.95,-15.13,77242.91
36,Power Grid Corp,Power Generation/Distribution,151.6,-5.65,-3.59,79310.9
37,Reliance,Oil Exploration and Production,891.7,-126.25,-12.4,565272.48
38,SBI,Bank - Public,183.6,-26.25,-12.51,163855.87
39,Sun Pharma,Pharmaceuticals & Drugs,333.3,-31.95,-8.75,79969.83
40,Tata Motors,Automobile - LCVS/ HVCS,68.2,-9.1,-11.77,21066.79
41,Tata Steel,Iron & Steel,260.35,-37.4,-12.56,29328.16
42,TCS,IT Services & Consulting,1689.8,-107.65,-5.99,634077.97
43,Tech Mahindra,IT Services & Consulting,504.85,-71.5,-12.41,49794.8
44,Titan Company,Diamond  &  Jewellery,803.3,-101.6,-11.23,71315.86
45,UltraTechCement,Cement,3103.25,-470.6,-13.17,89567.08
46,UPL,Pesticides & Agrochemicals,267.25,-32.9,-10.96,20419.11
47,Vedanta,Metals - Non Ferrous,62.75,-12.7,-16.83,23325.41
48,Wipro,IT Services & Consulting,173.25,-5.95,-3.32,98983.92
49,Yes Bank,Bank - Private,42.1,-3.75,-8.18,52837.49
50,Zee Entertain,TV Broadcasting & Software Production,128.4,-16.5,-11.39,12332.6
