,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,213.1,-43.3,-16.89,43296.63
2,Asian Paints,Paints,1498.0,-244.95,-14.05,143687.83
3,Axis Bank,Bank - Private,310.05,-118.1,-27.58,87478.79
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1932.9,-309.4,-13.8,55931.75
5,Bajaj Finance,Finance - NBFC,2270.0,-681.9,-23.1,136583.42
6,Bajaj Finserv,Finance - Investment,4550.0,-1683.05,-27.0,72407.47
7,Bharti Airtel,Telecommunication - Service Provider,408.0,-54.65,-11.81,222586.74
8,Bharti Infratel,Telecommunication - Equipment,141.65,-6.5,-4.39,26199.7
9,BPCL,Refineries,271.75,-46.1,-14.5,58949.44
10,Britannia,Consumer Food,2136.15,-331.65,-13.44,51367.64
11,Cipla,Pharmaceuticals & Drugs,378.75,-14.05,-3.58,30536.16
12,Coal India,Coal,126.75,-6.05,-4.56,78112.58
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2760.0,-137.25,-4.74,45863.49
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.45,-2.35,-2.91,35684.35
16,Grasim,Diversified,433.0,-96.4,-18.21,28482.69
17,HCL Tech,IT Services & Consulting,420.6,-24.3,-5.46,114136.75
18,HDFC,Finance - Housing,1516.8,-237.15,-13.52,262706.3
19,HDFC Bank,Bank - Private,769.4,-113.45,-12.85,421884.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1614.05,-201.65,-11.11,32238.93
21,Hindalco,Iron & Steel,90.05,-15.45,-14.64,20227.24
22,HUL,Household & Personal Products,1859.9,-191.8,-9.35,402635.07
23,ICICI Bank,Bank - Private,280.75,-64.95,-18.79,181715.13
24,IndusInd Bank,Bank - Private,336.0,-104.35,-23.7,23302.8
25,Infosys,IT Services & Consulting,525.3,-59.9,-10.24,223714.61
26,IOC,Refineries,80.65,-9.95,-10.98,75925.19
27,ITC,Cigarettes/Tobacco,154.45,-21.05,-11.99,189853.51
28,JSW Steel,Iron & Steel,145.85,-29.9,-17.01,35255.16
29,Kotak Mahindra,Bank - Private,1100.1,-162.25,-12.85,210390.44
30,Larsen,Engineering & Construction,716.4,-148.3,-17.15,100574.82
31,M&M,Automobile - Auto & Truck Manufacturers,294.65,-27.95,-8.66,36630.67
32,Maruti Suzuki,Automobile - Passenger Cars,4155.55,-923.65,-18.18,125530.88
33,Nestle,Consumer Food,12870.0,-1275.5,-9.02,124087.03
34,NTPC,Power Generation/Distribution,76.5,-4.75,-5.85,75693.36
35,ONGC,Oil Exploration and Production,60.75,-11.6,-16.03,76425.2
36,Power Grid Corp,Power Generation/Distribution,153.35,-3.9,-2.48,80226.43
37,Reliance,Oil Exploration and Production,890.0,-127.95,-12.57,564194.81
38,SBI,Bank - Public,181.25,-28.6,-13.63,161758.58
39,Sun Pharma,Pharmaceuticals & Drugs,330.3,-34.95,-9.57,79250.03
40,Tata Motors,Automobile - LCVS/ HVCS,66.4,-10.9,-14.1,20510.77
41,Tata Steel,Iron & Steel,272.1,-25.65,-8.61,30651.78
42,TCS,IT Services & Consulting,1644.9,-152.55,-8.49,617229.76
43,Tech Mahindra,IT Services & Consulting,492.15,-84.2,-14.61,48542.17
44,Titan Company,Diamond  &  Jewellery,781.0,-123.9,-13.69,69336.1
45,UltraTechCement,Cement,3050.05,-523.8,-14.66,88031.6
46,UPL,Pesticides & Agrochemicals,254.65,-45.5,-15.16,19456.42
47,Vedanta,Metals - Non Ferrous,63.2,-12.25,-16.24,23492.68
48,Wipro,IT Services & Consulting,170.25,-8.95,-4.99,97269.91
49,Yes Bank,Bank - Private,39.6,-6.25,-13.63,49699.87
50,Zee Entertain,TV Broadcasting & Software Production,120.0,-24.9,-17.18,11525.8
