,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.4,-48.0,-18.72,42341.71
2,Asian Paints,Paints,1515.45,-227.5,-13.05,145361.63
3,Axis Bank,Bank - Private,313.5,-114.65,-26.78,88452.19
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1949.45,-292.85,-13.06,56410.65
5,Bajaj Finance,Finance - NBFC,2346.0,-605.9,-20.53,141156.26
6,Bajaj Finserv,Finance - Investment,4867.9,-1365.15,-21.9,77466.44
7,Bharti Airtel,Telecommunication - Service Provider,421.0,-41.65,-9.0,229678.96
8,Bharti Infratel,Telecommunication - Equipment,140.4,-7.75,-5.23,25968.5
9,BPCL,Refineries,270.2,-47.65,-14.99,58613.21
10,Britannia,Consumer Food,2195.55,-272.25,-11.03,52796.02
11,Cipla,Pharmaceuticals & Drugs,374.05,-18.75,-4.77,30157.23
12,Coal India,Coal,130.25,-2.55,-1.92,80269.54
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2786.1,-111.15,-3.84,46297.2
14,Eicher Motors,Automobile - LCVS/ HVCS,14196.35,-1482.1,-9.45,38763.81
15,GAIL,Gas Distribution,78.95,-1.85,-2.29,35911.78
16,Grasim,Diversified,434.85,-94.55,-17.86,28604.39
17,HCL Tech,IT Services & Consulting,416.85,-28.05,-6.3,113119.13
18,HDFC,Finance - Housing,1590.6,-163.35,-9.31,275488.29
19,HDFC Bank,Bank - Private,777.0,-105.85,-11.99,426051.36
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1581.5,-234.2,-12.9,31588.78
21,Hindalco,Iron & Steel,85.9,-19.6,-18.58,19295.05
22,HUL,Household & Personal Products,1901.15,-150.55,-7.34,411564.96
23,ICICI Bank,Bank - Private,286.0,-59.7,-17.27,185113.19
24,IndusInd Bank,Bank - Private,336.5,-103.85,-23.58,23337.48
25,Infosys,IT Services & Consulting,534.0,-51.2,-8.75,227419.77
26,IOC,Refineries,81.85,-8.75,-9.66,77054.89
27,ITC,Cigarettes/Tobacco,154.5,-21.0,-11.97,189914.97
28,JSW Steel,Iron & Steel,137.6,-38.15,-21.71,33260.95
29,Kotak Mahindra,Bank - Private,1098.1,-164.25,-13.01,210007.94
30,Larsen,Engineering & Construction,726.35,-138.35,-16.0,101971.7
31,M&M,Automobile - Auto & Truck Manufacturers,295.55,-27.05,-8.38,36742.56
32,Maruti Suzuki,Automobile - Passenger Cars,4269.95,-809.25,-15.93,128986.68
33,Nestle,Consumer Food,13017.25,-1128.25,-7.98,125506.75
34,NTPC,Power Generation/Distribution,77.45,-3.8,-4.68,76633.35
35,ONGC,Oil Exploration and Production,60.85,-11.5,-15.89,76551.0
36,Power Grid Corp,Power Generation/Distribution,154.6,-2.65,-1.69,80880.38
37,Reliance,Oil Exploration and Production,887.5,-130.45,-12.81,562609.99
38,SBI,Bank - Public,182.95,-26.9,-12.82,163275.77
39,Sun Pharma,Pharmaceuticals & Drugs,326.85,-38.4,-10.51,78422.26
40,Tata Motors,Automobile - LCVS/ HVCS,66.5,-10.8,-13.97,20541.66
41,Tata Steel,Iron & Steel,268.0,-29.75,-9.99,30189.92
42,TCS,IT Services & Consulting,1704.0,-93.45,-5.2,639406.35
43,Tech Mahindra,IT Services & Consulting,517.35,-59.0,-10.24,51027.72
44,Titan Company,Diamond  &  Jewellery,825.0,-79.9,-8.83,73242.36
45,UltraTechCement,Cement,3077.65,-496.2,-13.88,88828.2
46,UPL,Pesticides & Agrochemicals,266.35,-33.8,-11.26,20350.35
47,Vedanta,Metals - Non Ferrous,62.15,-13.3,-17.63,23102.38
48,Wipro,IT Services & Consulting,172.45,-6.75,-3.77,98526.85
49,Yes Bank,Bank - Private,40.2,-5.65,-12.32,50452.9
50,Zee Entertain,TV Broadcasting & Software Production,127.2,-17.7,-12.22,12217.35
