,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,215.4,-41.0,-15.99,43763.93
2,Asian Paints,Paints,1529.6,-213.35,-12.24,146718.89
3,Axis Bank,Bank - Private,306.15,-122.0,-28.49,86378.43
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1935.0,-307.3,-13.7,55992.52
5,Bajaj Finance,Finance - NBFC,2398.15,-553.75,-18.76,144294.06
6,Bajaj Finserv,Finance - Investment,4956.85,-1276.2,-20.47,78881.97
7,Bharti Airtel,Telecommunication - Service Provider,423.15,-39.5,-8.54,230851.91
8,Bharti Infratel,Telecommunication - Equipment,143.45,-4.7,-3.17,26532.63
9,BPCL,Refineries,283.15,-34.7,-10.92,61422.39
10,Britannia,Consumer Food,2225.0,-242.8,-9.84,53504.2
11,Cipla,Pharmaceuticals & Drugs,389.5,-3.3,-0.84,31402.87
12,Coal India,Coal,131.9,-0.9,-0.68,81286.39
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2778.35,-118.9,-4.1,46168.42
14,Eicher Motors,Automobile - LCVS/ HVCS,14320.0,-1358.45,-8.66,39101.44
15,GAIL,Gas Distribution,77.65,-3.15,-3.9,35320.46
16,Grasim,Diversified,435.0,-94.4,-17.83,28614.25
17,HCL Tech,IT Services & Consulting,417.3,-27.6,-6.2,113241.24
18,HDFC,Finance - Housing,1599.2,-154.75,-8.82,276977.79
19,HDFC Bank,Bank - Private,779.55,-103.3,-11.7,427449.6
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1574.5,-241.2,-13.28,31448.96
21,Hindalco,Iron & Steel,86.7,-18.8,-17.82,19474.75
22,HUL,Household & Personal Products,1900.0,-151.7,-7.39,411316.0
23,ICICI Bank,Bank - Private,288.6,-57.1,-16.52,186796.04
24,IndusInd Bank,Bank - Private,335.15,-105.2,-23.89,23243.85
25,Infosys,IT Services & Consulting,531.0,-54.2,-9.26,226142.13
26,IOC,Refineries,83.2,-7.4,-8.17,78325.8
27,ITC,Cigarettes/Tobacco,154.6,-20.9,-11.91,190037.89
28,JSW Steel,Iron & Steel,140.85,-34.9,-19.86,34046.55
29,Kotak Mahindra,Bank - Private,1107.7,-154.65,-12.25,211843.91
30,Larsen,Engineering & Construction,712.0,-152.7,-17.66,99957.11
31,M&M,Automobile - Auto & Truck Manufacturers,292.35,-30.25,-9.38,36344.73
32,Maruti Suzuki,Automobile - Passenger Cars,4260.45,-818.75,-16.12,128699.7
33,Nestle,Consumer Food,13577.45,-568.05,-4.02,130907.96
34,NTPC,Power Generation/Distribution,77.8,-3.45,-4.25,76979.66
35,ONGC,Oil Exploration and Production,61.05,-11.3,-15.62,76802.6
36,Power Grid Corp,Power Generation/Distribution,150.55,-6.7,-4.26,78761.58
37,Reliance,Oil Exploration and Production,893.4,-124.55,-12.24,566350.16
38,SBI,Bank - Public,183.4,-26.45,-12.6,163677.38
39,Sun Pharma,Pharmaceuticals & Drugs,333.8,-31.45,-8.61,80089.8
40,Tata Motors,Automobile - LCVS/ HVCS,68.2,-9.1,-11.77,21066.79
41,Tata Steel,Iron & Steel,265.0,-32.75,-11.0,29851.98
42,TCS,IT Services & Consulting,1689.95,-107.5,-5.98,634134.25
43,Tech Mahindra,IT Services & Consulting,505.6,-70.75,-12.28,49868.78
44,Titan Company,Diamond  &  Jewellery,804.0,-100.9,-11.15,71378.01
45,UltraTechCement,Cement,3100.7,-473.15,-13.24,89493.48
46,UPL,Pesticides & Agrochemicals,267.35,-32.8,-10.93,20426.76
47,Vedanta,Metals - Non Ferrous,63.3,-12.15,-16.1,23529.85
48,Wipro,IT Services & Consulting,173.35,-5.85,-3.26,99041.05
49,Yes Bank,Bank - Private,42.1,-3.75,-8.18,52837.49
50,Zee Entertain,TV Broadcasting & Software Production,127.3,-17.6,-12.15,12226.95
