,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.55,-47.85,-18.66,42372.18
2,Asian Paints,Paints,1515.05,-227.9,-13.08,145323.26
3,Axis Bank,Bank - Private,311.95,-116.2,-27.14,88014.87
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1950.0,-292.3,-13.04,56426.57
5,Bajaj Finance,Finance - NBFC,2333.25,-618.65,-20.96,140389.1
6,Bajaj Finserv,Finance - Investment,4857.6,-1375.45,-22.07,77302.53
7,Bharti Airtel,Telecommunication - Service Provider,419.6,-43.05,-9.31,228915.19
8,Bharti Infratel,Telecommunication - Equipment,140.3,-7.85,-5.3,25950.0
9,BPCL,Refineries,271.0,-46.85,-14.74,58786.75
10,Britannia,Consumer Food,2193.4,-274.4,-11.12,52744.32
11,Cipla,Pharmaceuticals & Drugs,372.2,-20.6,-5.24,30008.08
12,Coal India,Coal,130.1,-2.7,-2.03,80177.1
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2765.2,-132.05,-4.56,45949.9
14,Eicher Motors,Automobile - LCVS/ HVCS,14154.45,-1524.0,-9.72,38649.4
15,GAIL,Gas Distribution,79.35,-1.45,-1.79,36093.73
16,Grasim,Diversified,434.0,-95.4,-18.02,28548.47
17,HCL Tech,IT Services & Consulting,416.25,-28.65,-6.44,112956.31
18,HDFC,Finance - Housing,1586.15,-167.8,-9.57,274717.56
19,HDFC Bank,Bank - Private,775.3,-107.55,-12.18,425119.2
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1584.25,-231.45,-12.75,31643.71
21,Hindalco,Iron & Steel,86.5,-19.0,-18.01,19429.83
22,HUL,Household & Personal Products,1905.6,-146.1,-7.12,412528.3
23,ICICI Bank,Bank - Private,286.75,-58.95,-17.05,185598.63
24,IndusInd Bank,Bank - Private,336.0,-104.35,-23.7,23302.8
25,Infosys,IT Services & Consulting,532.95,-52.25,-8.93,226972.59
26,IOC,Refineries,82.0,-8.6,-9.49,77196.1
27,ITC,Cigarettes/Tobacco,154.55,-20.95,-11.94,189976.43
28,JSW Steel,Iron & Steel,138.0,-37.75,-21.48,33357.64
29,Kotak Mahindra,Bank - Private,1093.7,-168.65,-13.36,209166.46
30,Larsen,Engineering & Construction,725.2,-139.5,-16.13,101810.25
31,M&M,Automobile - Auto & Truck Manufacturers,295.75,-26.85,-8.32,36767.42
32,Maruti Suzuki,Automobile - Passenger Cars,4268.9,-810.3,-15.95,128954.96
33,Nestle,Consumer Food,13051.45,-1094.05,-7.73,125836.49
34,NTPC,Power Generation/Distribution,77.45,-3.8,-4.68,76633.35
35,ONGC,Oil Exploration and Production,60.75,-11.6,-16.03,76425.2
36,Power Grid Corp,Power Generation/Distribution,154.5,-2.75,-1.75,80828.06
37,Reliance,Oil Exploration and Production,885.65,-132.3,-13.0,561437.23
38,SBI,Bank - Public,182.65,-27.2,-12.96,163008.03
39,Sun Pharma,Pharmaceuticals & Drugs,326.75,-38.5,-10.54,78398.27
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,269.25,-28.5,-9.57,30330.73
42,TCS,IT Services & Consulting,1702.2,-95.25,-5.3,638730.92
43,Tech Mahindra,IT Services & Consulting,517.25,-59.1,-10.25,51017.85
44,Titan Company,Diamond  &  Jewellery,819.4,-85.5,-9.45,72745.2
45,UltraTechCement,Cement,3075.1,-498.75,-13.96,88754.6
46,UPL,Pesticides & Agrochemicals,265.0,-35.15,-11.71,20247.2
47,Vedanta,Metals - Non Ferrous,62.25,-13.2,-17.5,23139.55
48,Wipro,IT Services & Consulting,172.65,-6.55,-3.66,98641.12
49,Yes Bank,Bank - Private,40.45,-5.4,-11.78,50766.66
50,Zee Entertain,TV Broadcasting & Software Production,127.65,-17.25,-11.9,12260.57
