,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,216.15,-40.25,-15.7,43916.31
2,Asian Paints,Paints,1499.95,-243.0,-13.94,143874.87
3,Axis Bank,Bank - Private,310.3,-117.85,-27.53,87549.33
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1912.0,-330.3,-14.73,55326.97
5,Bajaj Finance,Finance - NBFC,2286.05,-665.85,-22.56,137549.13
6,Bajaj Finserv,Finance - Investment,4450.0,-1783.05,-28.61,70816.09
7,Bharti Airtel,Telecommunication - Service Provider,407.35,-55.3,-11.95,222232.13
8,Bharti Infratel,Telecommunication - Equipment,141.0,-7.15,-4.83,26079.48
9,BPCL,Refineries,273.05,-44.8,-14.09,59231.45
10,Britannia,Consumer Food,2138.1,-329.7,-13.36,51414.53
11,Cipla,Pharmaceuticals & Drugs,381.0,-11.8,-3.0,30717.57
12,Coal India,Coal,126.45,-6.35,-4.78,77927.7
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2769.9,-127.35,-4.4,46028.0
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.75,-2.05,-2.54,35820.81
16,Grasim,Diversified,433.5,-95.9,-18.11,28515.58
17,HCL Tech,IT Services & Consulting,428.9,-16.0,-3.6,116389.1
18,HDFC,Finance - Housing,1524.25,-229.7,-13.1,263996.62
19,HDFC Bank,Bank - Private,777.85,-105.0,-11.89,426517.44
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1610.15,-205.55,-11.32,32161.03
21,Hindalco,Iron & Steel,89.85,-15.65,-14.83,20182.31
22,HUL,Household & Personal Products,1872.75,-178.95,-8.72,405416.86
23,ICICI Bank,Bank - Private,281.5,-64.2,-18.57,182200.57
24,IndusInd Bank,Bank - Private,335.6,-104.75,-23.79,23275.06
25,Infosys,IT Services & Consulting,528.9,-56.3,-9.62,225247.78
26,IOC,Refineries,80.5,-10.1,-11.15,75783.98
27,ITC,Cigarettes/Tobacco,154.6,-20.9,-11.91,190037.89
28,JSW Steel,Iron & Steel,146.5,-29.25,-16.64,35412.28
29,Kotak Mahindra,Bank - Private,1115.0,-147.35,-11.67,213240.01
30,Larsen,Engineering & Construction,716.55,-148.15,-17.13,100595.88
31,M&M,Automobile - Auto & Truck Manufacturers,297.0,-25.6,-7.94,36922.82
32,Maruti Suzuki,Automobile - Passenger Cars,4161.25,-917.95,-18.07,125703.06
33,Nestle,Consumer Food,12993.45,-1152.05,-8.14,125277.28
34,NTPC,Power Generation/Distribution,76.7,-4.55,-5.6,75891.25
35,ONGC,Oil Exploration and Production,61.15,-11.2,-15.48,76928.41
36,Power Grid Corp,Power Generation/Distribution,152.9,-4.35,-2.77,79991.01
37,Reliance,Oil Exploration and Production,893.95,-124.0,-12.18,566698.82
38,SBI,Bank - Public,181.85,-28.0,-13.34,162294.06
39,Sun Pharma,Pharmaceuticals & Drugs,331.5,-33.75,-9.24,79537.95
40,Tata Motors,Automobile - LCVS/ HVCS,66.75,-10.55,-13.65,20618.89
41,Tata Steel,Iron & Steel,274.15,-23.6,-7.93,30882.71
42,TCS,IT Services & Consulting,1642.4,-155.05,-8.63,616291.66
43,Tech Mahindra,IT Services & Consulting,492.0,-84.35,-14.64,48527.37
44,Titan Company,Diamond  &  Jewellery,781.6,-123.3,-13.63,69389.37
45,UltraTechCement,Cement,3075.0,-498.85,-13.96,88751.72
46,UPL,Pesticides & Agrochemicals,250.6,-49.55,-16.51,19146.98
47,Vedanta,Metals - Non Ferrous,63.65,-11.8,-15.64,23659.96
48,Wipro,IT Services & Consulting,171.1,-8.1,-4.52,97755.54
49,Yes Bank,Bank - Private,39.65,-6.2,-13.52,49762.62
50,Zee Entertain,TV Broadcasting & Software Production,116.0,-28.9,-19.94,11141.61
