,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.1,-48.3,-18.84,42280.75
2,Asian Paints,Paints,1491.55,-251.4,-14.42,143069.15
3,Axis Bank,Bank - Private,307.6,-120.55,-28.16,86787.54
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1932.1,-310.2,-13.83,55908.6
5,Bajaj Finance,Finance - NBFC,2259.9,-692.0,-23.44,135975.71
6,Bajaj Finserv,Finance - Investment,4536.7,-1696.35,-27.22,72195.81
7,Bharti Airtel,Telecommunication - Service Provider,410.65,-52.0,-11.24,224032.46
8,Bharti Infratel,Telecommunication - Equipment,145.55,-2.6,-1.75,26921.05
9,BPCL,Refineries,269.95,-47.9,-15.07,58558.98
10,Britannia,Consumer Food,2163.05,-304.75,-12.35,52014.49
11,Cipla,Pharmaceuticals & Drugs,376.85,-15.95,-4.06,30382.98
12,Coal India,Coal,126.65,-6.15,-4.63,78050.95
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2754.8,-142.45,-4.92,45777.09
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.9,-1.9,-2.35,35889.04
16,Grasim,Diversified,433.6,-95.8,-18.1,28522.16
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1514.9,-239.05,-13.63,262377.22
19,HDFC Bank,Bank - Private,770.0,-112.85,-12.78,422213.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1618.95,-196.75,-10.84,32336.8
21,Hindalco,Iron & Steel,88.65,-16.85,-15.97,19912.76
22,HUL,Household & Personal Products,1862.0,-189.7,-9.25,403089.68
23,ICICI Bank,Bank - Private,280.8,-64.9,-18.77,181747.5
24,IndusInd Bank,Bank - Private,336.25,-104.1,-23.64,23320.14
25,Infosys,IT Services & Consulting,525.5,-59.7,-10.2,223799.79
26,IOC,Refineries,80.5,-10.1,-11.15,75783.98
27,ITC,Cigarettes/Tobacco,154.55,-20.95,-11.94,189976.43
28,JSW Steel,Iron & Steel,145.0,-30.75,-17.5,35049.7
29,Kotak Mahindra,Bank - Private,1094.4,-167.95,-13.3,209300.33
30,Larsen,Engineering & Construction,719.0,-145.7,-16.85,100939.84
31,M&M,Automobile - Auto & Truck Manufacturers,294.7,-27.9,-8.65,36636.88
32,Maruti Suzuki,Automobile - Passenger Cars,4203.0,-876.2,-17.25,126964.25
33,Nestle,Consumer Food,12944.3,-1201.2,-8.49,124803.4
34,NTPC,Power Generation/Distribution,76.05,-5.2,-6.4,75248.11
35,ONGC,Oil Exploration and Production,60.35,-12.0,-16.59,75921.99
36,Power Grid Corp,Power Generation/Distribution,153.0,-4.25,-2.7,80043.32
37,Reliance,Oil Exploration and Production,889.0,-128.95,-12.67,563560.88
38,SBI,Bank - Public,181.85,-28.0,-13.34,162294.06
39,Sun Pharma,Pharmaceuticals & Drugs,332.0,-33.25,-9.1,79657.92
40,Tata Motors,Automobile - LCVS/ HVCS,66.35,-10.95,-14.17,20495.33
41,Tata Steel,Iron & Steel,270.75,-27.0,-9.07,30499.71
42,TCS,IT Services & Consulting,1652.7,-144.75,-8.05,620156.62
43,Tech Mahindra,IT Services & Consulting,477.85,-98.5,-17.09,47131.72
44,Titan Company,Diamond  &  Jewellery,794.7,-110.2,-12.18,70552.37
45,UltraTechCement,Cement,3050.05,-523.8,-14.66,88031.6
46,UPL,Pesticides & Agrochemicals,255.1,-45.05,-15.01,19490.8
47,Vedanta,Metals - Non Ferrous,62.7,-12.75,-16.9,23306.82
48,Wipro,IT Services & Consulting,169.0,-10.2,-5.69,96555.74
49,Yes Bank,Bank - Private,39.95,-5.9,-12.87,50139.14
50,Zee Entertain,TV Broadcasting & Software Production,121.3,-23.6,-16.29,11650.66
