,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,209.8,-46.6,-18.17,42626.15
2,Asian Paints,Paints,1515.25,-227.7,-13.06,145342.45
3,Axis Bank,Bank - Private,314.9,-113.25,-26.45,88847.19
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1957.15,-285.15,-12.72,56633.47
5,Bajaj Finance,Finance - NBFC,2358.8,-593.1,-20.09,141926.42
6,Bajaj Finserv,Finance - Investment,4867.5,-1365.55,-21.91,77460.08
7,Bharti Airtel,Telecommunication - Service Provider,420.45,-42.2,-9.12,229378.91
8,Bharti Infratel,Telecommunication - Equipment,141.15,-7.0,-4.72,26107.22
9,BPCL,Refineries,269.0,-48.85,-15.37,58352.9
10,Britannia,Consumer Food,2193.7,-274.1,-11.11,52751.53
11,Cipla,Pharmaceuticals & Drugs,378.85,-13.95,-3.55,30544.23
12,Coal India,Coal,129.95,-2.85,-2.15,80084.65
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2814.4,-82.85,-2.86,46767.47
14,Eicher Motors,Automobile - LCVS/ HVCS,14180.1,-1498.35,-9.56,38719.43
15,GAIL,Gas Distribution,77.8,-3.0,-3.71,35388.69
16,Grasim,Diversified,434.05,-95.35,-18.01,28551.76
17,HCL Tech,IT Services & Consulting,416.15,-28.75,-6.46,112929.17
18,HDFC,Finance - Housing,1592.0,-161.95,-9.23,275730.77
19,HDFC Bank,Bank - Private,781.55,-101.3,-11.47,428546.25
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1591.8,-223.9,-12.33,31794.51
21,Hindalco,Iron & Steel,86.5,-19.0,-18.01,19429.83
22,HUL,Household & Personal Products,1901.65,-150.05,-7.31,411673.2
23,ICICI Bank,Bank - Private,285.6,-60.1,-17.39,184854.29
24,IndusInd Bank,Bank - Private,338.5,-101.85,-23.13,23476.18
25,Infosys,IT Services & Consulting,531.15,-54.05,-9.24,226206.01
26,IOC,Refineries,81.9,-8.7,-9.6,77101.96
27,ITC,Cigarettes/Tobacco,155.1,-20.4,-11.62,190652.51
28,JSW Steel,Iron & Steel,138.5,-37.25,-21.19,33478.5
29,Kotak Mahindra,Bank - Private,1100.0,-162.35,-12.86,210371.31
30,Larsen,Engineering & Construction,727.45,-137.25,-15.87,102126.13
31,M&M,Automobile - Auto & Truck Manufacturers,297.7,-24.9,-7.72,37009.84
32,Maruti Suzuki,Automobile - Passenger Cars,4250.5,-828.7,-16.32,128399.13
33,Nestle,Consumer Food,13056.15,-1089.35,-7.7,125881.81
34,NTPC,Power Generation/Distribution,76.95,-4.3,-5.29,76138.62
35,ONGC,Oil Exploration and Production,60.6,-11.75,-16.24,76236.49
36,Power Grid Corp,Power Generation/Distribution,153.5,-3.75,-2.38,80304.9
37,Reliance,Oil Exploration and Production,888.0,-129.95,-12.77,562926.95
38,SBI,Bank - Public,184.05,-25.8,-12.29,164257.48
39,Sun Pharma,Pharmaceuticals & Drugs,329.0,-36.25,-9.92,78938.12
40,Tata Motors,Automobile - LCVS/ HVCS,66.55,-10.75,-13.91,20557.11
41,Tata Steel,Iron & Steel,269.95,-27.8,-9.34,30409.59
42,TCS,IT Services & Consulting,1707.05,-90.4,-5.03,640550.83
43,Tech Mahindra,IT Services & Consulting,509.15,-67.2,-11.66,50218.93
44,Titan Company,Diamond  &  Jewellery,823.95,-80.95,-8.95,73149.14
45,UltraTechCement,Cement,3076.95,-496.9,-13.9,88808.0
46,UPL,Pesticides & Agrochemicals,264.4,-35.75,-11.91,20201.36
47,Vedanta,Metals - Non Ferrous,62.35,-13.1,-17.36,23176.72
48,Wipro,IT Services & Consulting,172.15,-7.05,-3.93,98355.45
49,Yes Bank,Bank - Private,40.45,-5.4,-11.78,50766.66
50,Zee Entertain,TV Broadcasting & Software Production,126.6,-18.3,-12.63,12159.72
