,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,211.8,-44.6,-17.39,43032.5
2,Asian Paints,Paints,1530.1,-212.85,-12.21,146766.85
3,Axis Bank,Bank - Private,313.8,-114.35,-26.71,88536.83
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1968.9,-273.4,-12.19,56973.47
5,Bajaj Finance,Finance - NBFC,2347.4,-604.5,-20.48,141240.49
6,Bajaj Finserv,Finance - Investment,4881.95,-1351.1,-21.68,77690.03
7,Bharti Airtel,Telecommunication - Service Provider,420.35,-42.3,-9.14,229324.35
8,Bharti Infratel,Telecommunication - Equipment,141.15,-7.0,-4.72,26107.22
9,BPCL,Refineries,270.5,-47.35,-14.9,58678.29
10,Britannia,Consumer Food,2209.3,-258.5,-10.47,53126.66
11,Cipla,Pharmaceuticals & Drugs,377.6,-15.2,-3.87,30443.45
12,Coal India,Coal,131.05,-1.75,-1.32,80762.55
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2765.0,-132.25,-4.56,45946.58
14,Eicher Motors,Automobile - LCVS/ HVCS,14220.0,-1458.45,-9.3,38828.38
15,GAIL,Gas Distribution,80.1,-0.7,-0.87,36434.88
16,Grasim,Diversified,434.1,-95.3,-18.0,28555.05
17,HCL Tech,IT Services & Consulting,417.0,-27.9,-6.27,113159.83
18,HDFC,Finance - Housing,1600.0,-153.95,-8.78,277116.35
19,HDFC Bank,Bank - Private,780.65,-102.2,-11.58,428052.76
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1604.0,-211.7,-11.66,32038.19
21,Hindalco,Iron & Steel,87.05,-18.45,-17.49,19553.37
22,HUL,Household & Personal Products,1928.15,-123.55,-6.02,417409.97
23,ICICI Bank,Bank - Private,288.65,-57.05,-16.5,186828.4
24,IndusInd Bank,Bank - Private,335.3,-105.05,-23.86,23254.25
25,Infosys,IT Services & Consulting,534.25,-50.95,-8.71,227526.24
26,IOC,Refineries,82.2,-8.4,-9.27,77384.39
27,ITC,Cigarettes/Tobacco,155.35,-20.15,-11.48,190959.81
28,JSW Steel,Iron & Steel,138.85,-36.9,-21.0,33563.11
29,Kotak Mahindra,Bank - Private,1108.0,-154.35,-12.23,211901.29
30,Larsen,Engineering & Construction,730.0,-134.7,-15.58,102484.12
31,M&M,Automobile - Auto & Truck Manufacturers,298.75,-23.85,-7.39,37140.38
32,Maruti Suzuki,Automobile - Passenger Cars,4293.55,-785.65,-15.47,129699.58
33,Nestle,Consumer Food,13223.85,-921.65,-6.52,127498.7
34,NTPC,Power Generation/Distribution,77.25,-4.0,-4.92,76435.45
35,ONGC,Oil Exploration and Production,61.2,-11.15,-15.41,76991.31
36,Power Grid Corp,Power Generation/Distribution,154.55,-2.7,-1.72,80854.22
37,Reliance,Oil Exploration and Production,888.05,-129.9,-12.76,562958.65
38,SBI,Bank - Public,183.15,-26.7,-12.72,163454.26
39,Sun Pharma,Pharmaceuticals & Drugs,330.05,-35.2,-9.64,79190.05
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,270.0,-27.75,-9.32,30415.22
42,TCS,IT Services & Consulting,1716.0,-81.45,-4.53,643909.22
43,Tech Mahindra,IT Services & Consulting,521.2,-55.15,-9.57,51407.45
44,Titan Company,Diamond  &  Jewellery,827.05,-77.85,-8.6,73424.35
45,UltraTechCement,Cement,3077.0,-496.85,-13.9,88809.44
46,UPL,Pesticides & Agrochemicals,263.75,-36.4,-12.13,20151.7
47,Vedanta,Metals - Non Ferrous,62.55,-12.9,-17.1,23251.06
48,Wipro,IT Services & Consulting,174.2,-5.0,-2.79,99526.69
49,Yes Bank,Bank - Private,40.2,-5.65,-12.32,50452.9
50,Zee Entertain,TV Broadcasting & Software Production,127.7,-17.2,-11.87,12265.37
