,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,215.0,-41.4,-16.15,43682.66
2,Asian Paints,Paints,1500.0,-242.95,-13.94,143879.67
3,Axis Bank,Bank - Private,310.0,-118.15,-27.6,87464.68
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1919.0,-323.3,-14.42,55529.53
5,Bajaj Finance,Finance - NBFC,2280.95,-670.95,-22.73,137242.27
6,Bajaj Finserv,Finance - Investment,4520.0,-1713.05,-27.48,71930.06
7,Bharti Airtel,Telecommunication - Service Provider,417.9,-44.75,-9.67,227987.74
8,Bharti Infratel,Telecommunication - Equipment,141.95,-6.2,-4.18,26255.19
9,BPCL,Refineries,273.0,-44.85,-14.11,59220.6
10,Britannia,Consumer Food,2156.9,-310.9,-12.6,51866.61
11,Cipla,Pharmaceuticals & Drugs,380.5,-12.3,-3.13,30677.25
12,Coal India,Coal,127.55,-5.25,-3.95,78605.6
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2775.0,-122.25,-4.22,46112.75
14,Eicher Motors,Automobile - LCVS/ HVCS,13364.4,-2314.05,-14.76,36492.13
15,GAIL,Gas Distribution,78.7,-2.1,-2.6,35798.07
16,Grasim,Diversified,435.95,-93.45,-17.65,28676.74
17,HCL Tech,IT Services & Consulting,425.0,-19.9,-4.47,115330.77
18,HDFC,Finance - Housing,1520.7,-233.25,-13.3,263381.77
19,HDFC Bank,Bank - Private,778.9,-103.95,-11.77,427093.18
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1615.15,-200.55,-11.05,32260.9
21,Hindalco,Iron & Steel,89.8,-15.7,-14.88,20171.08
22,HUL,Household & Personal Products,1868.85,-182.85,-8.91,404572.58
23,ICICI Bank,Bank - Private,282.0,-63.7,-18.43,182524.2
24,IndusInd Bank,Bank - Private,335.4,-104.95,-23.83,23261.19
25,Infosys,IT Services & Consulting,529.15,-56.05,-9.58,225354.25
26,IOC,Refineries,81.4,-9.2,-10.15,76631.25
27,ITC,Cigarettes/Tobacco,155.5,-20.0,-11.4,191144.2
28,JSW Steel,Iron & Steel,145.9,-29.85,-16.98,35267.25
29,Kotak Mahindra,Bank - Private,1119.0,-143.35,-11.36,214005.0
30,Larsen,Engineering & Construction,721.0,-143.7,-16.62,101220.61
31,M&M,Automobile - Auto & Truck Manufacturers,299.9,-22.7,-7.04,37283.34
32,Maruti Suzuki,Automobile - Passenger Cars,4177.1,-902.1,-17.76,126181.86
33,Nestle,Consumer Food,12970.0,-1175.5,-8.31,125051.18
34,NTPC,Power Generation/Distribution,77.0,-4.25,-5.23,76188.09
35,ONGC,Oil Exploration and Production,60.95,-11.4,-15.76,76676.8
36,Power Grid Corp,Power Generation/Distribution,153.25,-4.0,-2.54,80174.11
37,Reliance,Oil Exploration and Production,891.0,-126.95,-12.47,564828.74
38,SBI,Bank - Public,181.95,-27.9,-13.3,162383.31
39,Sun Pharma,Pharmaceuticals & Drugs,332.0,-33.25,-9.1,79657.92
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,272.05,-25.7,-8.63,30646.15
42,TCS,IT Services & Consulting,1631.0,-166.45,-9.26,612013.95
43,Tech Mahindra,IT Services & Consulting,494.9,-81.45,-14.13,48813.41
44,Titan Company,Diamond  &  Jewellery,779.65,-125.25,-13.84,69216.25
45,UltraTechCement,Cement,3054.9,-518.95,-14.52,88171.58
46,UPL,Pesticides & Agrochemicals,254.6,-45.55,-15.18,19452.6
47,Vedanta,Metals - Non Ferrous,63.0,-12.45,-16.5,23418.34
48,Wipro,IT Services & Consulting,171.5,-7.7,-4.3,97984.08
49,Yes Bank,Bank - Private,39.65,-6.2,-13.52,49762.62
50,Zee Entertain,TV Broadcasting & Software Production,115.95,-28.95,-19.98,11136.8
