,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,212.5,-43.9,-17.12,43174.72
2,Asian Paints,Paints,1533.6,-209.35,-12.01,147102.57
3,Axis Bank,Bank - Private,314.75,-113.4,-26.49,88804.87
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1970.0,-272.3,-12.14,57005.3
5,Bajaj Finance,Finance - NBFC,2370.0,-581.9,-19.71,142600.31
6,Bajaj Finserv,Finance - Investment,4914.0,-1319.05,-21.16,78200.06
7,Bharti Airtel,Telecommunication - Service Provider,421.2,-41.45,-8.96,229788.08
8,Bharti Infratel,Telecommunication - Equipment,141.1,-7.05,-4.76,26097.97
9,BPCL,Refineries,270.3,-47.55,-14.96,58634.9
10,Britannia,Consumer Food,2213.85,-253.95,-10.29,53236.07
11,Cipla,Pharmaceuticals & Drugs,378.25,-14.55,-3.7,30495.85
12,Coal India,Coal,131.0,-1.8,-1.36,80731.74
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2769.95,-127.3,-4.39,46028.84
14,Eicher Motors,Automobile - LCVS/ HVCS,14250.0,-1428.45,-9.11,38910.3
15,GAIL,Gas Distribution,80.05,-0.75,-0.93,36412.14
16,Grasim,Diversified,435.8,-93.6,-17.68,28666.88
17,HCL Tech,IT Services & Consulting,419.6,-25.3,-5.69,113865.39
18,HDFC,Finance - Housing,1607.3,-146.65,-8.36,278380.69
19,HDFC Bank,Bank - Private,782.2,-100.65,-11.4,428902.67
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1602.65,-213.05,-11.73,32011.23
21,Hindalco,Iron & Steel,87.3,-18.2,-17.25,19609.52
22,HUL,Household & Personal Products,1942.0,-109.7,-5.35,420408.25
23,ICICI Bank,Bank - Private,289.05,-56.65,-16.39,187087.3
24,IndusInd Bank,Bank - Private,336.0,-104.35,-23.7,23302.8
25,Infosys,IT Services & Consulting,533.95,-51.25,-8.76,227398.47
26,IOC,Refineries,82.45,-8.15,-9.0,77619.74
27,ITC,Cigarettes/Tobacco,155.85,-19.65,-11.2,191574.42
28,JSW Steel,Iron & Steel,139.45,-36.3,-20.65,33708.14
29,Kotak Mahindra,Bank - Private,1110.6,-151.75,-12.02,212398.53
30,Larsen,Engineering & Construction,733.4,-131.3,-15.18,102961.44
31,M&M,Automobile - Auto & Truck Manufacturers,299.85,-22.75,-7.05,37277.13
32,Maruti Suzuki,Automobile - Passenger Cars,4298.95,-780.25,-15.36,129862.71
33,Nestle,Consumer Food,13204.55,-940.95,-6.65,127312.61
34,NTPC,Power Generation/Distribution,76.95,-4.3,-5.29,76138.62
35,ONGC,Oil Exploration and Production,61.35,-11.0,-15.2,77180.01
36,Power Grid Corp,Power Generation/Distribution,155.1,-2.15,-1.37,81141.96
37,Reliance,Oil Exploration and Production,891.9,-126.05,-12.38,565399.27
38,SBI,Bank - Public,183.55,-26.3,-12.53,163811.24
39,Sun Pharma,Pharmaceuticals & Drugs,331.9,-33.35,-9.13,79633.93
40,Tata Motors,Automobile - LCVS/ HVCS,66.65,-10.65,-13.78,20588.0
41,Tata Steel,Iron & Steel,270.2,-27.55,-9.25,30437.75
42,TCS,IT Services & Consulting,1723.95,-73.5,-4.09,646892.36
43,Tech Mahindra,IT Services & Consulting,522.65,-53.7,-9.32,51550.47
44,Titan Company,Diamond  &  Jewellery,834.4,-70.5,-7.79,74076.88
45,UltraTechCement,Cement,3087.2,-486.65,-13.62,89103.84
46,UPL,Pesticides & Agrochemicals,264.0,-36.15,-12.04,20170.8
47,Vedanta,Metals - Non Ferrous,62.8,-12.65,-16.77,23343.99
48,Wipro,IT Services & Consulting,174.6,-4.6,-2.57,99755.22
49,Yes Bank,Bank - Private,40.1,-5.75,-12.54,50327.39
50,Zee Entertain,TV Broadcasting & Software Production,127.75,-17.15,-11.84,12270.17
