,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.0,-48.4,-18.88,42260.44
2,Asian Paints,Paints,1512.25,-230.7,-13.24,145054.69
3,Axis Bank,Bank - Private,313.35,-114.8,-26.81,88409.87
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1949.6,-292.7,-13.05,56414.99
5,Bajaj Finance,Finance - NBFC,2311.2,-640.7,-21.7,139062.38
6,Bajaj Finserv,Finance - Investment,4855.0,-1378.05,-22.11,77261.15
7,Bharti Airtel,Telecommunication - Service Provider,419.25,-43.4,-9.38,228724.24
8,Bharti Infratel,Telecommunication - Equipment,140.1,-8.05,-5.43,25913.01
9,BPCL,Refineries,265.45,-52.4,-16.49,57582.81
10,Britannia,Consumer Food,2194.95,-272.85,-11.06,52781.59
11,Cipla,Pharmaceuticals & Drugs,376.35,-16.45,-4.19,30342.67
12,Coal India,Coal,130.05,-2.75,-2.07,80146.28
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2832.1,-65.15,-2.25,47061.6
14,Eicher Motors,Automobile - LCVS/ HVCS,14115.0,-1563.45,-9.97,38541.68
15,GAIL,Gas Distribution,77.7,-3.1,-3.84,35343.2
16,Grasim,Diversified,434.25,-95.15,-17.97,28564.92
17,HCL Tech,IT Services & Consulting,416.1,-28.8,-6.47,112915.6
18,HDFC,Finance - Housing,1583.4,-170.55,-9.72,274241.26
19,HDFC Bank,Bank - Private,776.3,-106.55,-12.07,425667.53
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1581.55,-234.15,-12.9,31589.78
21,Hindalco,Iron & Steel,88.05,-17.45,-16.54,19777.99
22,HUL,Household & Personal Products,1892.0,-159.7,-7.78,409584.14
23,ICICI Bank,Bank - Private,284.05,-61.65,-17.83,183851.06
24,IndusInd Bank,Bank - Private,338.1,-102.25,-23.22,23448.44
25,Infosys,IT Services & Consulting,533.25,-51.95,-8.88,227100.36
26,IOC,Refineries,82.1,-8.5,-9.38,77290.24
27,ITC,Cigarettes/Tobacco,154.75,-20.75,-11.82,190222.28
28,JSW Steel,Iron & Steel,139.35,-36.4,-20.71,33683.97
29,Kotak Mahindra,Bank - Private,1099.65,-162.7,-12.89,210304.38
30,Larsen,Engineering & Construction,725.7,-139.0,-16.07,101880.44
31,M&M,Automobile - Auto & Truck Manufacturers,298.25,-24.35,-7.55,37078.22
32,Maruti Suzuki,Automobile - Passenger Cars,4241.0,-838.2,-16.5,128112.15
33,Nestle,Consumer Food,13056.2,-1089.3,-7.7,125882.29
34,NTPC,Power Generation/Distribution,77.25,-4.0,-4.92,76435.45
35,ONGC,Oil Exploration and Production,60.65,-11.7,-16.17,76299.39
36,Power Grid Corp,Power Generation/Distribution,154.5,-2.75,-1.75,80828.06
37,Reliance,Oil Exploration and Production,888.1,-129.85,-12.76,562990.35
38,SBI,Bank - Public,183.55,-26.3,-12.53,163811.24
39,Sun Pharma,Pharmaceuticals & Drugs,327.1,-38.15,-10.44,78482.25
40,Tata Motors,Automobile - LCVS/ HVCS,66.35,-10.95,-14.17,20495.33
41,Tata Steel,Iron & Steel,269.05,-28.7,-9.64,30308.2
42,TCS,IT Services & Consulting,1700.0,-97.45,-5.42,637905.4
43,Tech Mahindra,IT Services & Consulting,506.1,-70.25,-12.19,49918.1
44,Titan Company,Diamond  &  Jewellery,816.05,-88.85,-9.82,72447.79
45,UltraTechCement,Cement,3083.4,-490.45,-13.72,88994.16
46,UPL,Pesticides & Agrochemicals,261.15,-39.0,-12.99,19953.05
47,Vedanta,Metals - Non Ferrous,62.45,-13.0,-17.23,23213.89
48,Wipro,IT Services & Consulting,171.25,-7.95,-4.44,97841.25
49,Yes Bank,Bank - Private,40.4,-5.45,-11.89,50703.91
50,Zee Entertain,TV Broadcasting & Software Production,126.7,-18.2,-12.56,12169.32
