,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,214.1,-42.3,-16.5,43499.81
2,Asian Paints,Paints,1498.05,-244.9,-14.05,143692.62
3,Axis Bank,Bank - Private,311.3,-116.85,-27.29,87831.47
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1920.0,-322.3,-14.37,55558.47
5,Bajaj Finance,Finance - NBFC,2285.9,-666.0,-22.56,137540.1
6,Bajaj Finserv,Finance - Investment,4499.0,-1734.05,-27.82,71595.87
7,Bharti Airtel,Telecommunication - Service Provider,406.05,-56.6,-12.23,221522.91
8,Bharti Infratel,Telecommunication - Equipment,140.5,-7.65,-5.16,25987.0
9,BPCL,Refineries,272.65,-45.2,-14.22,59144.68
10,Britannia,Consumer Food,2149.0,-318.8,-12.92,51676.64
11,Cipla,Pharmaceuticals & Drugs,380.0,-12.8,-3.26,30636.94
12,Coal India,Coal,126.65,-6.15,-4.63,78050.95
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2763.1,-134.15,-4.63,45915.01
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.7,-2.1,-2.6,35798.07
16,Grasim,Diversified,433.3,-96.1,-18.15,28502.43
17,HCL Tech,IT Services & Consulting,418.9,-26.0,-5.84,113675.43
18,HDFC,Finance - Housing,1516.2,-237.75,-13.56,262602.38
19,HDFC Bank,Bank - Private,774.1,-108.75,-12.32,424461.2
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1617.5,-198.2,-10.92,32307.84
21,Hindalco,Iron & Steel,89.65,-15.85,-15.02,20137.39
22,HUL,Household & Personal Products,1870.4,-181.3,-8.84,404908.13
23,ICICI Bank,Bank - Private,282.0,-63.7,-18.43,182524.2
24,IndusInd Bank,Bank - Private,336.0,-104.35,-23.7,23302.8
25,Infosys,IT Services & Consulting,529.15,-56.05,-9.58,225354.25
26,IOC,Refineries,80.8,-9.8,-10.82,76066.4
27,ITC,Cigarettes/Tobacco,154.45,-21.05,-11.99,189853.51
28,JSW Steel,Iron & Steel,145.6,-30.15,-17.16,35194.73
29,Kotak Mahindra,Bank - Private,1115.45,-146.9,-11.64,213326.07
30,Larsen,Engineering & Construction,715.1,-149.6,-17.3,100392.32
31,M&M,Automobile - Auto & Truck Manufacturers,297.0,-25.6,-7.94,36922.82
32,Maruti Suzuki,Automobile - Passenger Cars,4152.65,-926.55,-18.24,125443.28
33,Nestle,Consumer Food,12800.4,-1345.1,-9.51,123415.97
34,NTPC,Power Generation/Distribution,76.7,-4.55,-5.6,75891.25
35,ONGC,Oil Exploration and Production,61.1,-11.25,-15.55,76865.51
36,Power Grid Corp,Power Generation/Distribution,152.05,-5.2,-3.31,79546.32
37,Reliance,Oil Exploration and Production,891.2,-126.75,-12.45,564955.52
38,SBI,Bank - Public,181.45,-28.4,-13.53,161937.08
39,Sun Pharma,Pharmaceuticals & Drugs,330.0,-35.25,-9.65,79178.05
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,274.1,-23.65,-7.94,30877.08
42,TCS,IT Services & Consulting,1640.2,-157.25,-8.75,615466.14
43,Tech Mahindra,IT Services & Consulting,491.9,-84.45,-14.65,48517.51
44,Titan Company,Diamond  &  Jewellery,775.05,-129.85,-14.35,68807.87
45,UltraTechCement,Cement,3050.0,-523.85,-14.66,88030.16
46,UPL,Pesticides & Agrochemicals,252.9,-47.25,-15.74,19322.71
47,Vedanta,Metals - Non Ferrous,63.7,-11.75,-15.57,23678.54
48,Wipro,IT Services & Consulting,170.65,-8.55,-4.77,97498.44
49,Yes Bank,Bank - Private,39.6,-6.25,-13.63,49699.87
50,Zee Entertain,TV Broadcasting & Software Production,120.0,-24.9,-17.18,11525.8
