,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,216.15,-40.25,-15.7,43916.31
2,Asian Paints,Paints,1529.0,-213.95,-12.28,146661.34
3,Axis Bank,Bank - Private,321.15,-107.0,-24.99,90610.59
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1934.9,-307.4,-13.71,55989.62
5,Bajaj Finance,Finance - NBFC,2404.7,-547.2,-18.54,144688.17
6,Bajaj Finserv,Finance - Investment,4958.55,-1274.5,-20.45,78909.02
7,Bharti Airtel,Telecommunication - Service Provider,423.35,-39.3,-8.49,230961.02
8,Bharti Infratel,Telecommunication - Equipment,143.1,-5.05,-3.41,26467.89
9,BPCL,Refineries,283.25,-34.6,-10.89,61444.08
10,Britannia,Consumer Food,2225.0,-242.8,-9.84,53504.2
11,Cipla,Pharmaceuticals & Drugs,390.0,-2.8,-0.71,31443.18
12,Coal India,Coal,132.0,-0.8,-0.6,81348.01
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2775.0,-122.25,-4.22,46112.75
14,Eicher Motors,Automobile - LCVS/ HVCS,14338.9,-1339.55,-8.54,39153.04
15,GAIL,Gas Distribution,77.55,-3.25,-4.02,35274.97
16,Grasim,Diversified,433.3,-96.1,-18.15,28502.43
17,HCL Tech,IT Services & Consulting,415.9,-29.0,-6.52,112861.33
18,HDFC,Finance - Housing,1599.9,-154.05,-8.78,277099.03
19,HDFC Bank,Bank - Private,780.05,-102.8,-11.64,427723.76
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1574.55,-241.15,-13.28,31449.96
21,Hindalco,Iron & Steel,86.75,-18.75,-17.77,19485.98
22,HUL,Household & Personal Products,1900.05,-151.65,-7.39,411326.83
23,ICICI Bank,Bank - Private,288.05,-57.65,-16.68,186440.05
24,IndusInd Bank,Bank - Private,334.8,-105.55,-23.97,23219.58
25,Infosys,IT Services & Consulting,530.05,-55.15,-9.42,225737.54
26,IOC,Refineries,83.15,-7.45,-8.22,78278.73
27,ITC,Cigarettes/Tobacco,154.15,-21.35,-12.17,189484.74
28,JSW Steel,Iron & Steel,140.55,-35.2,-20.03,33974.03
29,Kotak Mahindra,Bank - Private,1105.5,-156.85,-12.43,211423.17
30,Larsen,Engineering & Construction,711.4,-153.3,-17.73,99872.88
31,M&M,Automobile - Auto & Truck Manufacturers,292.4,-30.2,-9.36,36350.95
32,Maruti Suzuki,Automobile - Passenger Cars,4263.75,-815.45,-16.05,128799.39
33,Nestle,Consumer Food,13562.05,-583.45,-4.12,130759.48
34,NTPC,Power Generation/Distribution,77.4,-3.85,-4.74,76583.87
35,ONGC,Oil Exploration and Production,61.05,-11.3,-15.62,76802.6
36,Power Grid Corp,Power Generation/Distribution,150.7,-6.55,-4.17,78840.06
37,Reliance,Oil Exploration and Production,894.35,-123.6,-12.14,566952.39
38,SBI,Bank - Public,183.95,-25.9,-12.34,164168.23
39,Sun Pharma,Pharmaceuticals & Drugs,333.3,-31.95,-8.75,79969.83
40,Tata Motors,Automobile - LCVS/ HVCS,68.2,-9.1,-11.77,21066.79
41,Tata Steel,Iron & Steel,262.3,-35.45,-11.91,29547.82
42,TCS,IT Services & Consulting,1689.95,-107.5,-5.98,634134.25
43,Tech Mahindra,IT Services & Consulting,504.65,-71.7,-12.44,49775.08
44,Titan Company,Diamond  &  Jewellery,804.05,-100.85,-11.14,71382.45
45,UltraTechCement,Cement,3105.9,-467.95,-13.09,89643.56
46,UPL,Pesticides & Agrochemicals,267.25,-32.9,-10.96,20419.11
47,Vedanta,Metals - Non Ferrous,63.05,-12.4,-16.43,23436.92
48,Wipro,IT Services & Consulting,173.25,-5.95,-3.32,98983.92
49,Yes Bank,Bank - Private,42.25,-3.6,-7.85,53025.75
50,Zee Entertain,TV Broadcasting & Software Production,128.2,-16.7,-11.53,12313.4
