,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,214.45,-41.95,-16.36,43570.92
2,Asian Paints,Paints,1529.0,-213.95,-12.28,146661.34
3,Axis Bank,Bank - Private,306.6,-121.55,-28.39,86505.39
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1934.8,-307.5,-13.71,55986.73
5,Bajaj Finance,Finance - NBFC,2398.45,-553.45,-18.75,144312.11
6,Bajaj Finserv,Finance - Investment,4915.45,-1317.6,-21.14,78223.14
7,Bharti Airtel,Telecommunication - Service Provider,423.0,-39.65,-8.57,230770.08
8,Bharti Infratel,Telecommunication - Equipment,142.8,-5.35,-3.61,26412.41
9,BPCL,Refineries,280.45,-37.4,-11.77,60836.69
10,Britannia,Consumer Food,2223.45,-244.35,-9.9,53466.92
11,Cipla,Pharmaceuticals & Drugs,389.25,-3.55,-0.9,31382.71
12,Coal India,Coal,130.8,-2.0,-1.51,80608.49
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2773.0,-124.25,-4.29,46079.52
14,Eicher Motors,Automobile - LCVS/ HVCS,14252.65,-1425.8,-9.09,38917.53
15,GAIL,Gas Distribution,77.7,-3.1,-3.84,35343.2
16,Grasim,Diversified,434.05,-95.35,-18.01,28551.76
17,HCL Tech,IT Services & Consulting,414.15,-30.75,-6.91,112386.44
18,HDFC,Finance - Housing,1597.65,-156.3,-8.91,276709.33
19,HDFC Bank,Bank - Private,775.95,-106.9,-12.11,425475.61
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1574.7,-241.0,-13.27,31452.96
21,Hindalco,Iron & Steel,86.5,-19.0,-18.01,19429.83
22,HUL,Household & Personal Products,1904.35,-147.35,-7.18,412257.7
23,ICICI Bank,Bank - Private,287.7,-58.0,-16.78,186213.51
24,IndusInd Bank,Bank - Private,335.0,-105.35,-23.92,23233.45
25,Infosys,IT Services & Consulting,530.7,-54.5,-9.31,226014.37
26,IOC,Refineries,82.75,-7.85,-8.66,77902.17
27,ITC,Cigarettes/Tobacco,153.9,-21.6,-12.31,189177.44
28,JSW Steel,Iron & Steel,140.6,-35.15,-20.0,33986.12
29,Kotak Mahindra,Bank - Private,1105.95,-156.4,-12.39,211509.23
30,Larsen,Engineering & Construction,713.1,-151.6,-17.53,100111.54
31,M&M,Automobile - Auto & Truck Manufacturers,292.55,-30.05,-9.31,36369.6
32,Maruti Suzuki,Automobile - Passenger Cars,4242.0,-837.2,-16.48,128142.36
33,Nestle,Consumer Food,13574.4,-571.1,-4.04,130878.55
34,NTPC,Power Generation/Distribution,76.95,-4.3,-5.29,76138.62
35,ONGC,Oil Exploration and Production,60.8,-11.55,-15.96,76488.1
36,Power Grid Corp,Power Generation/Distribution,150.9,-6.35,-4.04,78944.69
37,Reliance,Oil Exploration and Production,888.15,-129.8,-12.75,563022.04
38,SBI,Bank - Public,182.3,-27.55,-13.13,162695.67
39,Sun Pharma,Pharmaceuticals & Drugs,333.25,-32.0,-8.76,79957.84
40,Tata Motors,Automobile - LCVS/ HVCS,68.05,-9.25,-11.97,21020.46
41,Tata Steel,Iron & Steel,264.4,-33.35,-11.2,29784.39
42,TCS,IT Services & Consulting,1687.0,-110.45,-6.14,633027.3
43,Tech Mahindra,IT Services & Consulting,506.0,-70.35,-12.21,49908.23
44,Titan Company,Diamond  &  Jewellery,804.25,-100.65,-11.12,71400.2
45,UltraTechCement,Cement,3098.75,-475.1,-13.29,89437.2
46,UPL,Pesticides & Agrochemicals,267.55,-32.6,-10.86,20442.04
47,Vedanta,Metals - Non Ferrous,63.1,-12.35,-16.37,23455.51
48,Wipro,IT Services & Consulting,172.9,-6.3,-3.52,98783.95
49,Yes Bank,Bank - Private,41.95,-3.9,-8.51,52649.23
50,Zee Entertain,TV Broadcasting & Software Production,126.5,-18.4,-12.7,12150.11
