,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,207.2,-49.2,-19.19,42097.9
2,Asian Paints,Paints,1491.55,-251.4,-14.42,143069.15
3,Axis Bank,Bank - Private,307.55,-120.6,-28.17,86773.43
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1932.1,-310.2,-13.83,55908.6
5,Bajaj Finance,Finance - NBFC,2259.9,-692.0,-23.44,135975.71
6,Bajaj Finserv,Finance - Investment,4536.7,-1696.35,-27.22,72195.81
7,Bharti Airtel,Telecommunication - Service Provider,410.65,-52.0,-11.24,224032.46
8,Bharti Infratel,Telecommunication - Equipment,146.4,-1.75,-1.18,27078.26
9,BPCL,Refineries,269.95,-47.9,-15.07,58558.98
10,Britannia,Consumer Food,2163.05,-304.75,-12.35,52014.49
11,Cipla,Pharmaceuticals & Drugs,376.85,-15.95,-4.06,30382.98
12,Coal India,Coal,126.65,-6.15,-4.63,78050.95
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2754.8,-142.45,-4.92,45777.09
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.9,-1.9,-2.35,35889.04
16,Grasim,Diversified,433.6,-95.8,-18.1,28522.16
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1514.9,-239.05,-13.63,262377.22
19,HDFC Bank,Bank - Private,770.0,-112.85,-12.78,422213.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1618.95,-196.75,-10.84,32336.8
21,Hindalco,Iron & Steel,88.65,-16.85,-15.97,19912.76
22,HUL,Household & Personal Products,1862.0,-189.7,-9.25,403089.68
23,ICICI Bank,Bank - Private,280.8,-64.9,-18.77,181747.5
24,IndusInd Bank,Bank - Private,336.25,-104.1,-23.64,23320.14
25,Infosys,IT Services & Consulting,525.5,-59.7,-10.2,223799.79
26,IOC,Refineries,80.5,-10.1,-11.15,75783.98
27,ITC,Cigarettes/Tobacco,154.55,-20.95,-11.94,189976.43
28,JSW Steel,Iron & Steel,145.0,-30.75,-17.5,35049.7
29,Kotak Mahindra,Bank - Private,1094.4,-167.95,-13.3,209300.33
30,Larsen,Engineering & Construction,717.7,-147.0,-17.0,100757.33
31,M&M,Automobile - Auto & Truck Manufacturers,294.05,-28.55,-8.85,36556.08
32,Maruti Suzuki,Automobile - Passenger Cars,4216.85,-862.35,-16.98,127382.63
33,Nestle,Consumer Food,13001.1,-1144.4,-8.09,125351.04
34,NTPC,Power Generation/Distribution,76.0,-5.25,-6.46,75198.64
35,ONGC,Oil Exploration and Production,60.4,-11.95,-16.52,75984.89
36,Power Grid Corp,Power Generation/Distribution,154.2,-3.05,-1.94,80671.11
37,Reliance,Oil Exploration and Production,888.95,-129.0,-12.67,563529.19
38,SBI,Bank - Public,181.6,-28.25,-13.46,162070.95
39,Sun Pharma,Pharmaceuticals & Drugs,330.1,-35.15,-9.62,79202.05
40,Tata Motors,Automobile - LCVS/ HVCS,66.35,-10.95,-14.17,20495.33
41,Tata Steel,Iron & Steel,269.8,-27.95,-9.39,30392.69
42,TCS,IT Services & Consulting,1657.5,-139.95,-7.79,621957.77
43,Tech Mahindra,IT Services & Consulting,472.8,-103.55,-17.97,46633.62
44,Titan Company,Diamond  &  Jewellery,795.0,-109.9,-12.14,70579.0
45,UltraTechCement,Cement,3050.05,-523.8,-14.66,88031.6
46,UPL,Pesticides & Agrochemicals,254.05,-46.1,-15.36,19410.57
47,Vedanta,Metals - Non Ferrous,62.65,-12.8,-16.96,23288.24
48,Wipro,IT Services & Consulting,170.0,-9.2,-5.13,97127.08
49,Yes Bank,Bank - Private,39.8,-6.05,-13.2,49950.88
50,Zee Entertain,TV Broadcasting & Software Production,121.95,-22.95,-15.84,11713.09
