,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.5,-47.9,-18.68,42362.02
2,Asian Paints,Paints,1514.25,-228.7,-13.12,145246.53
3,Axis Bank,Bank - Private,312.55,-115.6,-27.0,88184.15
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1943.0,-299.3,-13.35,56224.01
5,Bajaj Finance,Finance - NBFC,2340.0,-611.9,-20.73,140795.24
6,Bajaj Finserv,Finance - Investment,4858.0,-1375.05,-22.06,77308.9
7,Bharti Airtel,Telecommunication - Service Provider,420.15,-42.5,-9.19,229215.24
8,Bharti Infratel,Telecommunication - Equipment,140.25,-7.9,-5.33,25940.76
9,BPCL,Refineries,269.85,-48.0,-15.1,58537.29
10,Britannia,Consumer Food,2198.7,-269.1,-10.9,52871.76
11,Cipla,Pharmaceuticals & Drugs,371.7,-21.1,-5.37,29967.77
12,Coal India,Coal,130.2,-2.6,-1.96,80238.72
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2772.0,-125.25,-4.32,46062.9
14,Eicher Motors,Automobile - LCVS/ HVCS,14193.75,-1484.7,-9.47,38756.71
15,GAIL,Gas Distribution,79.15,-1.65,-2.04,36002.76
16,Grasim,Diversified,434.15,-95.25,-17.99,28558.34
17,HCL Tech,IT Services & Consulting,416.35,-28.55,-6.42,112983.45
18,HDFC,Finance - Housing,1588.1,-165.85,-9.46,275055.29
19,HDFC Bank,Bank - Private,775.55,-107.3,-12.15,425256.28
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1581.15,-234.55,-12.92,31581.79
21,Hindalco,Iron & Steel,86.3,-19.2,-18.2,19384.9
22,HUL,Household & Personal Products,1905.75,-145.95,-7.11,412560.77
23,ICICI Bank,Bank - Private,286.65,-59.05,-17.08,185533.9
24,IndusInd Bank,Bank - Private,337.6,-102.75,-23.33,23413.77
25,Infosys,IT Services & Consulting,533.5,-51.7,-8.83,227206.83
26,IOC,Refineries,81.95,-8.65,-9.55,77149.03
27,ITC,Cigarettes/Tobacco,154.65,-20.85,-11.88,190099.36
28,JSW Steel,Iron & Steel,138.5,-37.25,-21.19,33478.5
29,Kotak Mahindra,Bank - Private,1095.0,-167.35,-13.26,209415.08
30,Larsen,Engineering & Construction,726.15,-138.55,-16.02,101943.62
31,M&M,Automobile - Auto & Truck Manufacturers,295.5,-27.1,-8.4,36736.34
32,Maruti Suzuki,Automobile - Passenger Cars,4266.7,-812.5,-16.0,128888.5
33,Nestle,Consumer Food,13049.95,-1095.55,-7.74,125822.03
34,NTPC,Power Generation/Distribution,77.3,-3.95,-4.86,76484.93
35,ONGC,Oil Exploration and Production,61.1,-11.25,-15.55,76865.51
36,Power Grid Corp,Power Generation/Distribution,154.65,-2.6,-1.65,80906.53
37,Reliance,Oil Exploration and Production,886.7,-131.25,-12.89,562102.85
38,SBI,Bank - Public,182.85,-27.0,-12.87,163186.52
39,Sun Pharma,Pharmaceuticals & Drugs,325.45,-39.8,-10.9,78086.36
40,Tata Motors,Automobile - LCVS/ HVCS,66.55,-10.75,-13.91,20557.11
41,Tata Steel,Iron & Steel,268.7,-29.05,-9.76,30268.78
42,TCS,IT Services & Consulting,1700.75,-96.7,-5.38,638186.83
43,Tech Mahindra,IT Services & Consulting,517.9,-58.45,-10.14,51081.96
44,Titan Company,Diamond  &  Jewellery,821.55,-83.35,-9.21,72936.07
45,UltraTechCement,Cement,3078.15,-495.7,-13.87,88842.63
46,UPL,Pesticides & Agrochemicals,265.4,-34.75,-11.58,20277.77
47,Vedanta,Metals - Non Ferrous,62.1,-13.35,-17.69,23083.79
48,Wipro,IT Services & Consulting,172.6,-6.6,-3.68,98612.55
49,Yes Bank,Bank - Private,40.25,-5.6,-12.21,50515.65
50,Zee Entertain,TV Broadcasting & Software Production,127.75,-17.15,-11.84,12270.17
