,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,217.5,-38.9,-15.17,44190.6
2,Asian Paints,Paints,1524.85,-218.1,-12.51,146263.28
3,Axis Bank,Bank - Private,321.15,-107.0,-24.99,90610.59
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1938.95,-303.35,-13.53,56106.82
5,Bajaj Finance,Finance - NBFC,2410.2,-541.7,-18.35,145019.1
6,Bajaj Finserv,Finance - Investment,4990.0,-1243.05,-19.94,79409.51
7,Bharti Airtel,Telecommunication - Service Provider,422.05,-40.6,-8.78,230251.8
8,Bharti Infratel,Telecommunication - Equipment,144.45,-3.7,-2.5,26717.59
9,BPCL,Refineries,286.05,-31.8,-10.0,62051.47
10,Britannia,Consumer Food,2226.95,-240.85,-9.76,53551.09
11,Cipla,Pharmaceuticals & Drugs,390.05,-2.75,-0.7,31447.21
12,Coal India,Coal,133.0,0.2,0.15,81964.29
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2776.25,-121.0,-4.18,46133.52
14,Eicher Motors,Automobile - LCVS/ HVCS,14262.25,-1416.2,-9.03,38943.75
15,GAIL,Gas Distribution,78.25,-2.55,-3.16,35593.38
16,Grasim,Diversified,435.0,-94.4,-17.83,28614.25
17,HCL Tech,IT Services & Consulting,420.35,-24.55,-5.52,114068.91
18,HDFC,Finance - Housing,1597.35,-156.6,-8.93,276657.37
19,HDFC Bank,Bank - Private,775.05,-107.8,-12.21,424982.12
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1568.65,-247.05,-13.61,31332.12
21,Hindalco,Iron & Steel,86.5,-19.0,-18.01,19429.83
22,HUL,Household & Personal Products,1903.25,-148.45,-7.24,412019.57
23,ICICI Bank,Bank - Private,284.8,-60.9,-17.62,184336.49
24,IndusInd Bank,Bank - Private,334.15,-106.2,-24.12,23174.5
25,Infosys,IT Services & Consulting,532.1,-53.1,-9.07,226610.6
26,IOC,Refineries,83.15,-7.45,-8.22,78278.73
27,ITC,Cigarettes/Tobacco,154.6,-20.9,-11.91,190037.89
28,JSW Steel,Iron & Steel,138.3,-37.45,-21.31,33430.16
29,Kotak Mahindra,Bank - Private,1103.4,-158.95,-12.59,211021.55
30,Larsen,Engineering & Construction,711.15,-153.55,-17.76,99837.78
31,M&M,Automobile - Auto & Truck Manufacturers,291.3,-31.3,-9.7,36214.2
32,Maruti Suzuki,Automobile - Passenger Cars,4235.1,-844.1,-16.62,127933.93
33,Nestle,Consumer Food,13550.0,-595.5,-4.21,130643.3
34,NTPC,Power Generation/Distribution,76.9,-4.35,-5.35,76089.15
35,ONGC,Oil Exploration and Production,61.45,-10.9,-15.07,77305.82
36,Power Grid Corp,Power Generation/Distribution,152.6,-4.65,-2.96,79834.06
37,Reliance,Oil Exploration and Production,896.6,-121.35,-11.92,568378.72
38,SBI,Bank - Public,184.1,-25.75,-12.27,164302.1
39,Sun Pharma,Pharmaceuticals & Drugs,334.75,-30.5,-8.35,80317.74
40,Tata Motors,Automobile - LCVS/ HVCS,68.05,-9.25,-11.97,21020.46
41,Tata Steel,Iron & Steel,260.0,-37.75,-12.68,29288.73
42,TCS,IT Services & Consulting,1694.8,-102.65,-5.71,635954.16
43,Tech Mahindra,IT Services & Consulting,510.25,-66.1,-11.47,50327.42
44,Titan Company,Diamond  &  Jewellery,803.0,-101.9,-11.26,71289.23
45,UltraTechCement,Cement,3105.0,-468.85,-13.12,89617.59
46,UPL,Pesticides & Agrochemicals,267.15,-33.0,-10.99,20411.47
47,Vedanta,Metals - Non Ferrous,63.0,-12.45,-16.5,23418.34
48,Wipro,IT Services & Consulting,173.75,-5.45,-3.04,99269.58
49,Yes Bank,Bank - Private,42.15,-3.7,-8.07,52900.24
50,Zee Entertain,TV Broadcasting & Software Production,128.95,-15.95,-11.01,12385.43
