,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,205.0,-51.4,-20.05,41650.91
2,Asian Paints,Paints,1514.4,-228.55,-13.11,145260.91
3,Axis Bank,Bank - Private,312.5,-115.65,-27.01,88170.04
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1949.25,-293.05,-13.07,56404.87
5,Bajaj Finance,Finance - NBFC,2342.4,-609.5,-20.65,140939.65
6,Bajaj Finserv,Finance - Investment,4866.0,-1367.05,-21.93,77436.21
7,Bharti Airtel,Telecommunication - Service Provider,419.9,-42.75,-9.24,229078.85
8,Bharti Infratel,Telecommunication - Equipment,140.2,-7.95,-5.37,25931.51
9,BPCL,Refineries,267.2,-50.65,-15.94,57962.43
10,Britannia,Consumer Food,2196.35,-271.45,-11.0,52815.25
11,Cipla,Pharmaceuticals & Drugs,375.85,-16.95,-4.32,30302.35
12,Coal India,Coal,129.8,-3.0,-2.26,79992.21
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2822.7,-74.55,-2.57,46905.39
14,Eicher Motors,Automobile - LCVS/ HVCS,14160.1,-1518.35,-9.68,38664.82
15,GAIL,Gas Distribution,77.85,-2.95,-3.65,35411.43
16,Grasim,Diversified,434.65,-94.75,-17.9,28591.23
17,HCL Tech,IT Services & Consulting,416.35,-28.55,-6.42,112983.45
18,HDFC,Finance - Housing,1588.0,-165.95,-9.46,275037.97
19,HDFC Bank,Bank - Private,775.05,-107.8,-12.21,424982.12
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1582.55,-233.15,-12.84,31609.75
21,Hindalco,Iron & Steel,87.6,-17.9,-16.97,19676.91
22,HUL,Household & Personal Products,1892.65,-159.05,-7.75,409724.86
23,ICICI Bank,Bank - Private,284.8,-60.9,-17.62,184336.49
24,IndusInd Bank,Bank - Private,338.55,-101.8,-23.12,23479.65
25,Infosys,IT Services & Consulting,531.2,-54.0,-9.23,226227.31
26,IOC,Refineries,81.9,-8.7,-9.6,77101.96
27,ITC,Cigarettes/Tobacco,154.4,-21.1,-12.02,189792.05
28,JSW Steel,Iron & Steel,138.2,-37.55,-21.37,33405.99
29,Kotak Mahindra,Bank - Private,1101.05,-161.3,-12.78,210572.12
30,Larsen,Engineering & Construction,725.05,-139.65,-16.15,101789.19
31,M&M,Automobile - Auto & Truck Manufacturers,298.5,-24.1,-7.47,37109.3
32,Maruti Suzuki,Automobile - Passenger Cars,4238.7,-840.5,-16.55,128042.68
33,Nestle,Consumer Food,13062.95,-1082.55,-7.65,125947.37
34,NTPC,Power Generation/Distribution,77.2,-4.05,-4.98,76385.98
35,ONGC,Oil Exploration and Production,60.75,-11.6,-16.03,76425.2
36,Power Grid Corp,Power Generation/Distribution,153.4,-3.85,-2.45,80252.59
37,Reliance,Oil Exploration and Production,886.75,-131.2,-12.89,562134.55
38,SBI,Bank - Public,183.75,-26.1,-12.44,163989.74
39,Sun Pharma,Pharmaceuticals & Drugs,328.15,-37.1,-10.16,78734.18
40,Tata Motors,Automobile - LCVS/ HVCS,66.3,-11.0,-14.23,20479.89
41,Tata Steel,Iron & Steel,269.95,-27.8,-9.34,30409.59
42,TCS,IT Services & Consulting,1702.55,-94.9,-5.28,638862.26
43,Tech Mahindra,IT Services & Consulting,509.0,-67.35,-11.69,50204.13
44,Titan Company,Diamond  &  Jewellery,819.5,-85.4,-9.44,72754.08
45,UltraTechCement,Cement,3079.2,-494.65,-13.84,88872.94
46,UPL,Pesticides & Agrochemicals,264.4,-35.75,-11.91,20201.36
47,Vedanta,Metals - Non Ferrous,62.35,-13.1,-17.36,23176.72
48,Wipro,IT Services & Consulting,171.7,-7.5,-4.19,98098.35
49,Yes Bank,Bank - Private,40.35,-5.5,-12.0,50641.16
50,Zee Entertain,TV Broadcasting & Software Production,126.5,-18.4,-12.7,12150.11
