,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,208.45,-47.95,-18.7,42351.87
2,Asian Paints,Paints,1509.1,-233.85,-13.42,144752.54
3,Axis Bank,Bank - Private,314.2,-113.95,-26.61,88649.69
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1949.0,-293.3,-13.08,56397.63
5,Bajaj Finance,Finance - NBFC,2352.3,-599.6,-20.31,141535.32
6,Bajaj Finserv,Finance - Investment,4868.1,-1364.95,-21.9,77469.62
7,Bharti Airtel,Telecommunication - Service Provider,420.35,-42.3,-9.14,229324.35
8,Bharti Infratel,Telecommunication - Equipment,140.3,-7.85,-5.3,25950.0
9,BPCL,Refineries,269.6,-48.25,-15.18,58483.05
10,Britannia,Consumer Food,2196.0,-271.8,-11.01,52806.84
11,Cipla,Pharmaceuticals & Drugs,373.45,-19.35,-4.93,30108.86
12,Coal India,Coal,130.15,-2.65,-2.0,80207.91
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2781.0,-116.25,-4.01,46212.46
14,Eicher Motors,Automobile - LCVS/ HVCS,14224.85,-1453.6,-9.27,38841.63
15,GAIL,Gas Distribution,77.95,-2.85,-3.53,35456.92
16,Grasim,Diversified,434.0,-95.4,-18.02,28548.47
17,HCL Tech,IT Services & Consulting,416.25,-28.65,-6.44,112956.31
18,HDFC,Finance - Housing,1586.55,-167.4,-9.54,274786.84
19,HDFC Bank,Bank - Private,779.0,-103.85,-11.76,427148.02
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1587.5,-228.2,-12.57,31708.62
21,Hindalco,Iron & Steel,85.4,-20.1,-19.05,19182.74
22,HUL,Household & Personal Products,1897.15,-154.55,-7.53,410699.03
23,ICICI Bank,Bank - Private,286.7,-59.0,-17.07,185566.26
24,IndusInd Bank,Bank - Private,336.5,-103.85,-23.58,23337.48
25,Infosys,IT Services & Consulting,532.15,-53.05,-9.07,226631.89
26,IOC,Refineries,81.85,-8.75,-9.66,77054.89
27,ITC,Cigarettes/Tobacco,154.25,-21.25,-12.11,189607.67
28,JSW Steel,Iron & Steel,136.4,-39.35,-22.39,32970.89
29,Kotak Mahindra,Bank - Private,1094.75,-167.6,-13.28,209367.27
30,Larsen,Engineering & Construction,726.1,-138.6,-16.03,101936.6
31,M&M,Automobile - Auto & Truck Manufacturers,295.95,-26.65,-8.26,36792.28
32,Maruti Suzuki,Automobile - Passenger Cars,4277.4,-801.8,-15.79,129211.72
33,Nestle,Consumer Food,13020.3,-1125.2,-7.95,125536.15
34,NTPC,Power Generation/Distribution,77.2,-4.05,-4.98,76385.98
35,ONGC,Oil Exploration and Production,60.7,-11.65,-16.1,76362.29
36,Power Grid Corp,Power Generation/Distribution,153.75,-3.5,-2.23,80435.69
37,Reliance,Oil Exploration and Production,888.35,-129.6,-12.73,563148.83
38,SBI,Bank - Public,183.75,-26.1,-12.44,163989.74
39,Sun Pharma,Pharmaceuticals & Drugs,327.75,-37.5,-10.27,78638.2
40,Tata Motors,Automobile - LCVS/ HVCS,66.4,-10.9,-14.1,20510.77
41,Tata Steel,Iron & Steel,266.7,-31.05,-10.43,30043.48
42,TCS,IT Services & Consulting,1707.4,-90.05,-5.01,640682.16
43,Tech Mahindra,IT Services & Consulting,515.15,-61.2,-10.62,50810.72
44,Titan Company,Diamond  &  Jewellery,827.55,-77.35,-8.55,73468.74
45,UltraTechCement,Cement,3075.0,-498.85,-13.96,88751.72
46,UPL,Pesticides & Agrochemicals,266.4,-33.75,-11.24,20354.17
47,Vedanta,Metals - Non Ferrous,62.05,-13.4,-17.76,23065.21
48,Wipro,IT Services & Consulting,172.5,-6.7,-3.74,98555.41
49,Yes Bank,Bank - Private,40.25,-5.6,-12.21,50515.65
50,Zee Entertain,TV Broadcasting & Software Production,126.6,-18.3,-12.63,12159.72
