,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,210.95,-45.45,-17.73,42859.8
2,Asian Paints,Paints,1493.6,-249.35,-14.31,143265.78
3,Axis Bank,Bank - Private,310.15,-118.0,-27.56,87507.01
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1936.55,-305.75,-13.64,56037.37
5,Bajaj Finance,Finance - NBFC,2265.3,-686.6,-23.26,136300.62
6,Bajaj Finserv,Finance - Investment,4528.1,-1704.95,-27.35,72058.96
7,Bharti Airtel,Telecommunication - Service Provider,408.3,-54.35,-11.75,222750.41
8,Bharti Infratel,Telecommunication - Equipment,143.85,-4.3,-2.9,26606.61
9,BPCL,Refineries,271.85,-46.0,-14.47,58971.14
10,Britannia,Consumer Food,2142.8,-325.0,-13.17,51527.55
11,Cipla,Pharmaceuticals & Drugs,379.45,-13.35,-3.4,30592.6
12,Coal India,Coal,126.85,-5.95,-4.48,78174.21
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2760.0,-137.25,-4.74,45863.49
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.55,-2.25,-2.78,35729.84
16,Grasim,Diversified,433.5,-95.9,-18.11,28515.58
17,HCL Tech,IT Services & Consulting,419.2,-25.7,-5.78,113756.84
18,HDFC,Finance - Housing,1516.1,-237.85,-13.56,262585.06
19,HDFC Bank,Bank - Private,770.0,-112.85,-12.78,422213.06
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1619.1,-196.6,-10.83,32339.8
21,Hindalco,Iron & Steel,89.9,-15.6,-14.79,20193.54
22,HUL,Household & Personal Products,1855.25,-196.45,-9.57,401628.43
23,ICICI Bank,Bank - Private,281.25,-64.45,-18.64,182038.76
24,IndusInd Bank,Bank - Private,336.0,-104.35,-23.7,23302.8
25,Infosys,IT Services & Consulting,524.8,-60.4,-10.32,223501.68
26,IOC,Refineries,80.45,-10.15,-11.2,75736.91
27,ITC,Cigarettes/Tobacco,154.5,-21.0,-11.97,189914.97
28,JSW Steel,Iron & Steel,145.5,-30.25,-17.21,35170.56
29,Kotak Mahindra,Bank - Private,1099.2,-163.15,-12.92,210218.32
30,Larsen,Engineering & Construction,718.0,-146.7,-16.97,100799.45
31,M&M,Automobile - Auto & Truck Manufacturers,294.75,-27.85,-8.63,36643.1
32,Maruti Suzuki,Automobile - Passenger Cars,4186.9,-892.3,-17.57,126477.9
33,Nestle,Consumer Food,12906.05,-1239.45,-8.76,124434.61
34,NTPC,Power Generation/Distribution,76.7,-4.55,-5.6,75891.25
35,ONGC,Oil Exploration and Production,60.4,-11.95,-16.52,75984.89
36,Power Grid Corp,Power Generation/Distribution,153.55,-3.7,-2.35,80331.06
37,Reliance,Oil Exploration and Production,889.35,-128.6,-12.63,563782.76
38,SBI,Bank - Public,181.7,-28.15,-13.41,162160.19
39,Sun Pharma,Pharmaceuticals & Drugs,330.8,-34.45,-9.43,79370.0
40,Tata Motors,Automobile - LCVS/ HVCS,66.6,-10.7,-13.84,20572.55
41,Tata Steel,Iron & Steel,270.8,-26.95,-9.05,30505.34
42,TCS,IT Services & Consulting,1647.15,-150.3,-8.36,618074.05
43,Tech Mahindra,IT Services & Consulting,480.65,-95.7,-16.6,47407.89
44,Titan Company,Diamond  &  Jewellery,787.4,-117.5,-12.98,69904.28
45,UltraTechCement,Cement,3050.8,-523.05,-14.64,88053.25
46,UPL,Pesticides & Agrochemicals,252.45,-47.7,-15.89,19288.33
47,Vedanta,Metals - Non Ferrous,62.95,-12.5,-16.57,23399.75
48,Wipro,IT Services & Consulting,170.3,-8.9,-4.97,97298.48
49,Yes Bank,Bank - Private,39.65,-6.2,-13.52,49762.62
50,Zee Entertain,TV Broadcasting & Software Production,119.9,-25.0,-17.25,11516.19
