,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,207.2,-49.2,-19.19,42097.9
2,Asian Paints,Paints,1492.8,-250.15,-14.35,143189.05
3,Axis Bank,Bank - Private,307.55,-120.6,-28.17,86773.43
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1931.65,-310.65,-13.85,55895.58
5,Bajaj Finance,Finance - NBFC,2258.85,-693.05,-23.48,135912.54
6,Bajaj Finserv,Finance - Investment,4557.9,-1675.15,-26.88,72533.19
7,Bharti Airtel,Telecommunication - Service Provider,410.65,-52.0,-11.24,224032.46
8,Bharti Infratel,Telecommunication - Equipment,146.4,-1.75,-1.18,27078.26
9,BPCL,Refineries,271.2,-46.65,-14.68,58830.13
10,Britannia,Consumer Food,2166.0,-301.8,-12.23,52085.43
11,Cipla,Pharmaceuticals & Drugs,373.0,-19.8,-5.04,30072.58
12,Coal India,Coal,126.7,-6.1,-4.59,78081.77
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2760.0,-137.25,-4.74,45863.49
14,Eicher Motors,Automobile - LCVS/ HVCS,13326.7,-2351.75,-15.0,36389.18
15,GAIL,Gas Distribution,78.45,-2.35,-2.91,35684.35
16,Grasim,Diversified,431.15,-98.25,-18.56,28361.0
17,HCL Tech,IT Services & Consulting,416.0,-28.9,-6.5,112888.47
18,HDFC,Finance - Housing,1517.6,-236.35,-13.48,262844.86
19,HDFC Bank,Bank - Private,769.55,-113.3,-12.83,421966.31
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1617.3,-198.4,-10.93,32303.85
21,Hindalco,Iron & Steel,88.4,-17.1,-16.21,19856.61
22,HUL,Household & Personal Products,1864.55,-187.15,-9.12,403641.71
23,ICICI Bank,Bank - Private,281.25,-64.45,-18.64,182038.76
24,IndusInd Bank,Bank - Private,336.6,-103.75,-23.56,23344.41
25,Infosys,IT Services & Consulting,525.7,-59.5,-10.17,223884.97
26,IOC,Refineries,81.1,-9.5,-10.49,76348.83
27,ITC,Cigarettes/Tobacco,154.0,-21.5,-12.25,189300.36
28,JSW Steel,Iron & Steel,145.15,-30.6,-17.41,35085.95
29,Kotak Mahindra,Bank - Private,1093.7,-168.65,-13.36,209166.46
30,Larsen,Engineering & Construction,717.7,-147.0,-17.0,100757.33
31,M&M,Automobile - Auto & Truck Manufacturers,294.05,-28.55,-8.85,36556.08
32,Maruti Suzuki,Automobile - Passenger Cars,4216.85,-862.35,-16.98,127382.63
33,Nestle,Consumer Food,13001.1,-1144.4,-8.09,125351.04
34,NTPC,Power Generation/Distribution,76.0,-5.25,-6.46,75198.64
35,ONGC,Oil Exploration and Production,60.4,-11.95,-16.52,75984.89
36,Power Grid Corp,Power Generation/Distribution,154.2,-3.05,-1.94,80671.11
37,Reliance,Oil Exploration and Production,888.95,-129.0,-12.67,563529.19
38,SBI,Bank - Public,181.6,-28.25,-13.46,162070.95
39,Sun Pharma,Pharmaceuticals & Drugs,330.1,-35.15,-9.62,79202.05
40,Tata Motors,Automobile - LCVS/ HVCS,66.35,-10.95,-14.17,20495.33
41,Tata Steel,Iron & Steel,269.8,-27.95,-9.39,30392.69
42,TCS,IT Services & Consulting,1657.5,-139.95,-7.79,621957.77
43,Tech Mahindra,IT Services & Consulting,472.8,-103.55,-17.97,46633.62
44,Titan Company,Diamond  &  Jewellery,795.0,-109.9,-12.14,70579.0
45,UltraTechCement,Cement,3050.05,-523.8,-14.66,88031.6
46,UPL,Pesticides & Agrochemicals,254.05,-46.1,-15.36,19410.57
47,Vedanta,Metals - Non Ferrous,62.65,-12.8,-16.96,23288.24
48,Wipro,IT Services & Consulting,170.0,-9.2,-5.13,97127.08
49,Yes Bank,Bank - Private,39.8,-6.05,-13.2,49950.88
50,Zee Entertain,TV Broadcasting & Software Production,121.95,-22.95,-15.84,11713.09
